City,Parameter,Status,AIC,MAE,RMSE,MAPE,Model_File
Delhi,wind_power_density_10m,Success,12919.66,15.264,24.515,188.5%,sarima_Delhi_wind_power_density_10m.pkl
Delhi,wind_power_density_50m,Success,16383.75,55.109,82.929,227.3%,sarima_Delhi_wind_power_density_50m.pkl
Delhi,wind_speed_2m,Success,3120.26,0.600,0.757,34.7%,sarima_Delhi_wind_speed_2m.pkl
Dewas,wind_speed_10m,Success,4908.63,1.088,1.408,30.8%,sarima_Dewas_wind_speed_10m.pkl
Dhalgaon,wind_power_density_10m,Success,15902.00,36.003,58.234,179.3%,sarima_Dhalgaon_wind_power_density_10m.pkl
Dhalgaon,wind_speed_10m,Success,5074.89,0.966,1.346,26.0%,sarima_Dhalgaon_wind_speed_10m.pkl
Dewas,wind_speed_2m,Success,4132.18,0.874,1.124,37.1%,sarima_Dewas_wind_speed_2m.pkl
Dewas,wind_power_density_50m,Success,17329.79,68.892,98.017,189.0%,sarima_Dewas_wind_power_density_50m.pkl
Dhalgaon,wind_speed_50m,Success,5848.38,1.318,1.757,25.8%,sarima_Dhalgaon_wind_speed_50m.pkl
Dewas,wind_speed_50m,Success,5704.23,1.429,1.767,28.9%,sarima_Dewas_wind_speed_50m.pkl
Dewas,wind_power_density_10m,Success,14986.07,28.384,43.909,213.6%,sarima_Dewas_wind_power_density_10m.pkl
Dhalgaon,wind_power_density_50m,Success,18244.54,87.893,132.598,165.4%,sarima_Dhalgaon_wind_power_density_50m.pkl
Dhanushkodi,wind_power_density_10m,Success,18736.53,121.531,142.421,610.7%,sarima_Dhanushkodi_wind_power_density_10m.pkl
Dhalgaon,wind_speed_2m,Success,4189.36,0.730,1.015,29.4%,sarima_Dhalgaon_wind_speed_2m.pkl
Dhanushkodi,wind_power_density_50m,Success,19973.65,184.958,216.857,720.3%,sarima_Dhanushkodi_wind_power_density_50m.pkl
Dhanushkodi,wind_speed_50m,Success,6753.62,1.976,2.466,47.2%,sarima_Dhanushkodi_wind_speed_50m.pkl
Dhanushkodi,wind_speed_10m,Success,6286.29,1.662,2.095,43.8%,sarima_Dhanushkodi_wind_speed_10m.pkl
Dhanushkodi,wind_speed_2m,Success,5700.95,1.348,1.712,40.3%,sarima_Dhanushkodi_wind_speed_2m.pkl
Dwarka,wind_power_density_10m,Success,18172.17,93.328,145.381,170.6%,sarima_Dwarka_wind_power_density_10m.pkl
